,rowID,기준일,누적환진률,누적검사수,누적 검사 완료 수,치료중 환자 수,격리해제 수,사망자 수,확진자 수,검사 진행 수,결과 음성 수 ,수정일
298,62,20200303,5.3291397182,125851,90296,4750,34,28,4812,35555,85484,2020-03-09 14:08:12.12
299,61,20200302,5.5573147561,109591,75792,4159,31,22,4212,33799,71580,2020-03-09 14:08:51.51
300,60,20200301,,,,,30,18,3736,33360,,
301,59,20200301,,,,,30,17,3526,32422,,
302,58,20200229,,,,,28,17,3150,35182,,2020-02-29 18:02:17.17
303,57,20200229,,,,,27,16,2931,29154,,
304,56,20200228,,,,,27,13,2337,30237,,
305,55,20200228,,,,,26,13,2022,24751,,2020-02-28 13:34:23.23
306,54,20200227,,,,,26,13,1766,25568,,
307,53,20200227,,,,,24,12,1595,21097,,
308,52,20200226,,,,,24,12,1261,20716,,
309,51,20200226,,,,,22,11,1146,16734,,
310,50,20200225,,,,,22,10,977,13880,,
311,49,20200225,,,,,22,8,893,13273,,
312,48,20200224,,,,,22,7,833,11631,,
313,47,20200224,,,,,18,7,763,8725,,
314,46,20200223,,,,,18,5,602,8057,,
315,45,20200223,,,,,18,4,556,6039,,
316,44,20200222,,,,,18,2,433,6037,,
317,43,20200222,,,,,17,2,346,5481,,
318,42,20200221,,,,,17,1,204,3180,,
319,41,20200221,,,,,17,1,204,3180,,
320,40,20200221,,,,,16,1,156,2707,,
321,39,20200220,,,,,16,1,104,1860,,
322,38,20200220,,,,,16,0,82,1633,,
323,37,20200219,,,,,16,0,51,1149,,
324,36,20200219,,,,,12,0,46,1030,,
325,35,20200218,,,,,12,0,31,818,,
326,34,20200218,,,,,10,0,31,957,,
327,33,20200218,,,,,10,0,31,957,,
328,32,20200217,,,,,10,0,30,708,,
329,31,20200217,,,,,9,0,30,408,,
330,30,20200216,,,,,9,0,29,485,,
331,29,20200216,,,,,9,0,29,577,,
332,28,20200215,,,,,9,0,28,558,,
333,27,20200215,,,,,7,0,28,638,,
334,26,20200214,,,,,7,0,28,535,,
335,25,20200214,,,,,7,0,28,692,,
